sha1	canonical_title	canonical_rom_name	dat_source	size	crc32	md5	mister_system	mister_core	expected_folder	region	release_type	license_status
0002c3976030d10c657e2280d54a94fb8b16eca2	Pokemon Channel - Line Art Card - 11-A101 - The Pikachu Star (USA, Australia) (Promo)	Pokemon Channel - Line Art Card - 11-A101 - The Pikachu Star (USA, Australia) (Promo) (Strip 1).raw	Nintendo - Game Boy Advance (e-Reader)	2912	78b22051	f00bee0c9760fc694eb83a29e3b7d465	GBA	GBA	GBA	USA	Retail/Standard	Licensed/Official
0005a7ea368694ed6ec54f1619cb6c5799098a85	Super Troll Islands (Europe)	Super Troll Islands (Europe).sfc	Nintendo - Super Nintendo Entertainment System	524288	943328ba	ce48a03f3c521e07beac2caa5517a605	SNES	SNES	SNES	Europe	Retail/Standard	Licensed/Official
0007603e37adfec491fbce8ea510e22f777ec805	Majokko Cream-chan no Gokko Series 1 - Wannyan Idol Gakuen (Japan)	Majokko Cream-chan no Gokko Series 1 - Wannyan Idol Gakuen (Japan).gba	Nintendo - Game Boy Advance	4194304	91bebbee	1d82ad717de36b8025770049ef4fb934	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
000e0846e4b5514138d435ebbe50b23294fdd921	Yakouchuu (Japan)	Yakouchuu (Japan).sfc	Nintendo - Super Nintendo Entertainment System	2097152	0cd0e8d8	9ed7f3afb1104882f36631fb2830c33a	SNES	SNES	SNES	Japan	Retail/Standard	Licensed/Official
000e9f780ab19fbd816a45a9da4dabbd30dd83bc	Pokemon Card-e - The Town on No Map - C-17-# (Japan)	Pokemon Card-e - The Town on No Map - C-17-# (Japan) (Long Strip).raw	Nintendo - Game Boy Advance (e-Reader)	2912	05fa6367	fdef8a84c1085e051ef4303aa1617511	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
0010b23b9745ffb9893026c66a106de8b44fe107	Pokemon-e TCG - Skyridge - F-06-# - Nidorina (USA)	Pokemon-e TCG - Skyridge - F-06-# - Nidorina (USA) (Long Strip).raw	Nintendo - Game Boy Advance (e-Reader)	2912	e55ca0aa	610a44fb0bd9726309ecbba72bdc641a	GBA	GBA	GBA	USA	Retail/Standard	Licensed/Official
001113c05475e2a376f51f51e222fa89bdee3057	F-15 Strike Eagle (Europe) (En,Sv,Da,Fi)	F-15 Strike Eagle (Europe) (En,Sv,Da,Fi).nes	Nintendo - Nintendo Entertainment System (Headered)	524304	f98c5069	baf51a35585483d5108b48445a226921	NES	NES	NES	Europe	Retail/Standard	Licensed/Official
00147962462c44354735861d0258d72314635458	Home Alone (USA) (Rev 1)	Home Alone (USA) (Rev 1).unh	Nintendo - Nintendo Entertainment System (Headerless)	262144	f31d36a3	a4c7d9fd8c0691644039b9ed3f9701db	NES	NES	NES	USA	Revision	Licensed/Official
00180fe335a64173e1428f5ec84955067f0b7696	Rocman X (Asia) (En) (Pirate)	Rocman X (Asia) (En) (Pirate).unh	Nintendo - Nintendo Entertainment System (Headerless)	524288	36ca3102	1aa01ae502cc4b9d78cfe1f82a0d3886	NES	NES	NES	Unknown	Retail/Standard	Licensed/Official
0019dd571f3a297bc558bf13dd9e4634c563da14	Rockman EXE 5 - Kaizou Card - Part 2 - 136-B009 (Japan)	Rockman EXE 5 - Kaizou Card - Part 2 - 136-B009 (Japan).raw	Nintendo - Game Boy Advance (e-Reader)	2912	a181c730	952d974565cfffe1a3d9ba0f1867a5c8	GBA	GBA	GBA	Japan	Retail/Standard	Licensed/Official
